Time,Value,DC
1443405960,44312.08056,I
1443406320,44205.93889,I
1443406680,45327.34167,I
1443407040,42326.825,I
1443407400,45276.75,I
1443407760,44743.23333,I
1443408120,43961.12222,I
1443408480,43511.37778,I
1443408840,42616.93611,I
1443409200,41545.24444,I
1443409560,40292.36111,I
1443409920,39917.13333,I
1443410280,38607.7,I
1443410640,38229.22778,I
1443411000,37424.44722,I
1443411360,35674.95278,I
1443411720,35323.75278,I
1443412080,33806.49444,I
1443412440,32478.20278,I
1443412800,31497.79167,I
1443413160,26841.96944,I
1443413520,26303.425,I
1443413880,25433.09444,I
1443414240,23758.82778,I
1443414600,23875.50278,I
1443414960,22108.69167,I
1443415320,20967.75833,I
1443415680,20145.71389,I
1443416040,19079.12222,I
1443416400,17762.23056,I
1443416760,16900.73056,I
1443417120,16221.08056,I
1443417480,16040.025,I
1443417840,15732.25,I
1443418200,14667.05833,I
1443418560,14278.36944,I
1443418920,13759.1,I
1443419280,12998.85556,I
1443419640,12494.15,I
1443420000,11753.82222,I
1443420360,11533.67778,I
1443420720,11107.64167,I
1443421080,10654.20556,I
1443421440,10378.25,I
1443421800,10016.14722,I
1443422160,9763.211111,I
1443422520,9389.480556,I
1443422880,8842.102778,I
1443423240,8657.172222,I
1443423600,7790.727778,I
1443423960,7635.322222,I
1443424320,7489.2,I
1443424680,7517.719444,I
1443425040,7713.466667,I
1443425400,7233.777778,I
1443425760,7158,I
1443426120,7100.65,I
1443426480,6705.608333,I
1443426840,6667.061111,I
1443427200,6456.902778,I
1443427560,6488.613889,I
1443427920,6487.661111,I
1443428280,6229.761111,I
1443428640,6241.438889,I
1443429000,6307.938889,I
1443429360,6168.413889,I
1443429720,6351.391667,I
1443430080,6374.35,I
1443430440,6400.283333,I
1443430800,6452.158333,I
1443431160,6747.261111,I
1443431520,7232.152778,I
1443431880,7179.191667,I
1443432240,7637.913889,I
1443432600,8141.580556,I
1443432960,8319.991667,I
1443433320,8665.780556,I
1443433680,8804.202778,I
1443434040,9292.097222,I
1443434400,9491.216667,I
1443434760,9607.769444,I
1443435120,10634.73889,I
1443435480,11373.95278,I
1443435840,11855.61389,I
1443436200,12166.15833,I
1443436560,12649.68056,I
1443436920,13629.81667,I
1443437280,14358.11944,I
1443437640,15379.4,I
1443438000,15961.33333,I
1443438360,16567.02778,I
1443438720,17087.64722,I
1443439080,18532.33889,I
1443439440,18922.58889,I
1443439800,20535.58889,I
1443440160,20993.48056,I
1443440520,22299.07778,I
1443440880,23455.54444,I
1443441240,23953.40278,I
1443441600,25235.54722,I
1443441960,25234.09167,I
1443442320,27080.51944,I
1443442680,27552.01944,I
1443443040,29901.475,I
1443443400,31902.81944,I
1443443760,31400.17222,I
1443444120,33637.76667,I
1443444480,34544.725,I
1443444840,36006.50833,I
1443445200,37803.41667,I
1443445560,37083.00278,I
1443445920,38082.83333,I
1443446280,40390.66944,I
1443446640,41118.13611,I
1443447000,43155.84167,I
1443447360,42913.58611,I
1443447720,44188.13056,I
1443448080,43854.95556,I
1443448440,45838.91667,I
1443448800,46666.12778,I
1443449160,44445.00833,I
1443449520,45415.25556,I
1443449880,45536.42222,I
1443450240,44824.98889,I
1443450600,47948.33056,I
1443450960,48531.875,I
1443451320,48964.07222,I
1443451680,48648.31111,I
1443452040,48946.64722,I
1443452400,48911.64444,I
1443452760,47878.94444,I
1443453120,48852.80556,I
1443453480,48894.50556,I
1443453840,49335.94167,I
1443454200,50663.86667,I
1443454560,50311.49444,I
1443454920,50776.56111,I
1443455280,50518.30278,I
1443455640,50963.72778,I
1443456000,51928.66667,I
1443456360,49613.44167,I
1443456720,50183.86944,I
1443457080,-1630442.511,I
1443457440,34375.98472,I
1443457800,53960.12963,I
1443458160,59787.71944,I
1443458520,59048.58333,I
1443458880,58665.50556,I
1443459240,59610.84444,I
1443459600,58476.01667,I
1443459960,57845.52778,I
1443460320,57221.725,I
1443460680,59112.97778,I
1443461040,59266.38889,I
1443461400,58758.71111,I
1443461760,59082.38889,I
1443462120,58200.53333,I
1443462480,57775.37778,I
1443462840,55914.83611,I
1443463200,59704.08889,I
1443463560,57012.57222,I
1443463920,61526.57778,I
1443464280,57483.49444,I
1443464640,58805.36667,I
1443465000,59840.22778,I
1443465060,58198.03849,I
1443465120,58962.99405,I
1443465360,57434.84437,I
1443465420,58832.08236,I
1443465480,59355.21222,I
1443465720,58045.36111,I
1443465780,58097.79444,I
1443465840,58327.5,I
1443466080,59867.34167,I
1443466140,59622.48333,I
1443466200,58461.72222,I
1443466440,58501.6,I
1443466500,58286.38373,I
1443466560,57600.92857,I
1443466800,58464.21706,I
1443466860,58577.85254,I
1443466920,55342.48389,I
1443467160,55354.58833,I
1443467220,53068.04389,I
1443467280,51964.55778,I
1443467520,50189.90889,I
1443467580,51490.94778,I
1443467640,50375.26032,I
1443467880,49967.9131,I
1443467940,44573.31587,I
1443468000,44356.63254,I
1443468240,43138.77143,I
1443468300,41081.94603,I
1443468360,37542.25119,I
1443468600,35916.10159,I
1443468660,33193.13794,I
1443468720,30742.41333,I
1443468960,28421.48722,I
1443469020,27075.49611,I
1443469080,27463.62111,I
1443469320,25879.04167,I
1443469380,24780.11167,I
1443469440,22556.13968,I
1443469680,22246.85913,I
1443469740,21815.93786,I
1443469800,20924.11405,I
1443470040,20493.27516,I
1443470100,19353.96722,I
1443470160,19277.47778,I
1443470400,19568.62222,I
1443470460,19541.06111,I
1443470520,19134.64444,I
1443470760,20862.37778,I
1443470820,23119.53556,I
1443470880,24176.33833,I
1443471120,27168.305,I
1443471180,30389.25667,I
1443471240,31587.28532,I
1443471480,33129.75476,I
1443471540,36662.41825,I
1443471600,40507.9377,I
1443471840,43947.58833,I
1443471900,46769.83302,I
1443471960,48536.67111,I
1443472200,48157.96167,I
1443472260,51242.60389,I
1443472320,50648.82889,I
1443472560,52373.12444,I
1443472620,50821.84889,I
1443472680,51612.80444,I
1443472920,50867.41278,I
1443472980,52103.80262,I
1443473040,51254.2373,I
1443473280,50250.83262,I
1443473340,51484.13857,I
1443473400,50348.97151,I
1443473640,49622.82706,I
1443473700,48304.1377,I
1443473760,49619.77143,I
1443473820,49049.67897,I
1443474000,48917.98198,I
1443474060,46709.95302,I
1443474120,44318.00897,I
1443474360,42761.05101,I
1443474420,39728.71545,I
1443474480,38749.89045,I
1443474720,39507.14111,I
1443474780,38765.36944,I
1443474840,38019.525,I
1443475080,38058.44722,I
1443475140,38713.08643,I
1443475200,37731.16667,I
1443475440,38201.93333,I
1443475500,38625.90278,I
1443475560,38225.61984,I
1443475800,37428.03627,I
1443475860,37437.78389,I
1443475920,36690.93111,I
1443476160,34393.10222,I
1443476220,33233.04889,I
1443476280,33430.36,I
1443476520,32528.33833,I
1443476580,32576.01833,I
1443476640,32494.70159,I
1443476880,33663.0127,I
1443476940,33225.76468,I
1443477000,32970.74444,I
1443477240,33419.63056,I
1443477300,34019.24881,I
1443477360,32422.72262,I
1443477420,32119.16786,I
1443477600,30815.85984,I
1443477660,30316.94968,I
1443477720,28994.52111,I
1443477960,28097.41667,I
1443478020,27798.22,I
1443478080,27634.24222,I
1443478320,28494.09667,I
1443478380,29844.08722,I
1443478440,30840.08722,I
1443478680,31869.07056,I
1443478740,32629.2246,I
1443478800,32774.63214,I
1443479040,32294.82937,I
1443479100,35085.39405,I
1443479160,35139.8369,I
1443479400,37318.83913,I
1443479460,38927.8877,I
1443479520,38616.425,I
1443479760,39649.98667,I
1443479820,39371.28389,I
1443479880,40572.22778,I
1443480120,39360.8025,I
1443480480,39814.98056,I
1443480840,41478.52222,I
1443481200,41106.84444,I
1443481560,39183.80833,I
1443481920,41678.46111,I
1443482280,40432.63889,I
1443482640,40631.66111,I
1443483000,40201.45556,I
1443483360,40459.34444,I
1443483720,41302.49444,I
1443484080,41602.425,I
1443484440,42140.17778,I
1443484800,41437.925,I
1443485160,41109.56667,I
1443485520,42233.64722,I
1443485880,44599.90556,I
1443486240,45558.24444,I
1443486600,46990.75556,I
1443486960,42937.45,I
1443487320,43078.08889,I
1443487680,43630.39167,I
1443488040,45320.975,I
1443488400,43921.1,I
1443488760,43136.23056,I
1443489120,43821.56944,I
1443489480,42804.31667,I
1443489840,42829.96944,I
1443490200,42165.36389,I
1443490560,42689.97778,I
1443490920,41793.425,I
1443491280,41765.16944,I
1443491640,42097.62778,I
1443492000,42553.825,I
1443492360,41644.28611,I
1443492720,41543.2,I
1443493080,42784.71667,I
1443493440,39216.28889,I
1443493800,40036.72222,I
1443494160,40673.91389,I
1443494520,38821.56944,I
1443494880,37068.08056,I
1443495240,38154.80278,I
1443495600,35163.25833,I
1443495960,34170.55278,I
1443496320,34905.01389,I
1443496680,34392.24722,I
1443497040,33416.15556,I
1443497400,33465.87778,I
1443497760,31981.00833,I
1443498120,30498.2,I
1443498480,29685.75833,I
1443498840,28463.37222,I
1443499200,26465.68889,I
1443499560,22921.55278,I
1443499920,22800.74167,I
1443500280,21403.92222,I
1443500640,20204.64722,I
